PROPERTY_ID,ZIP,PRICE,year,quarter,bathrooms,bedrooms,YR_BLT,SQFT
101825925,90621,450000,2004,1,0,0,.,0
101879091,90621,179500,2007,4,0,0,.,0
101879098,90621,196500,2007,4,0,0,.,0
101879104,90621,236000,2009,1,0,0,.,0
101879130,90621,279500,2006,2,0,0,.,0
104829818,90621,275000,2008,2,0,0,.,0
104829819,90621,550000,2005,1,0,0,.,0
109100605,90621,635000,2005,2,0,0,.,0
109100606,90621,630000,2008,2,0,0,.,0
109100607,90621,622000,2008,2,0,0,.,0
109100608,90621,550000,2009,2,0,0,.,0
109100614,90621,575000,2009,2,0,0,.,0
109100616,90621,580000,2008,4,0,0,.,0
109100625,90621,825000,2005,2,0,0,.,0
109100627,90621,820000,2006,2,0,0,.,0
109100628,90621,625000,2008,4,0,0,.,0
109100633,90621,835000,2005,3,0,0,.,0
109189779,90621,521500,2005,1,0,0,.,0
109189779,90621,522000,2005,1,0,0,.,0
109189779,90621,630000,2005,2,0,0,.,0
109189779,90621,650000,2005,4,0,0,.,0
109189781,90621,639000,2005,3,0,0,.,0
109189781,90621,479500,2009,1,0,0,.,0
109189787,90621,566000,2008,4,0,0,.,0
109189799,90621,560000,2009,1,0,0,.,0
109189808,90621,810000,2007,1,0,0,.,0
109189811,90621,740000,2006,3,0,0,.,0
109189813,90621,660000,2008,2,5,4,2005,0
109189814,90621,525000,2008,4,0,0,.,0
109189817,90621,612000,2008,2,0,0,.,0
109189817,90621,575000,2009,1,0,0,.,0
109189820,90621,768000,2005,3,0,0,.,0
109189824,90621,555000,2008,4,0,0,.,0
109189833,90621,660000,2008,1,0,0,.,0
109189838,90621,530000,2009,2,0,0,.,0
109189851,90621,850000,2006,1,0,0,.,0
109189851,90621,705000,2007,4,0,0,.,0
109189862,90621,620000,2008,1,0,0,.,0
109189869,90621,859000,2006,1,0,0,.,0
115016326,90621,569000,2007,1,0,0,.,0
115016737,90621,373000,2006,1,0,0,.,0
124187083,90621,450000,2008,4,0,0,.,0
38623263,90621,875000,2007,2,1,2,1960,952
38623265,90621,180000,1997,3,1,2,1928,890
38623265,90621,775000,2006,3,1,2,1928,890
38623266,90621,175000,2003,2,1,2,1948,720
38623267,90621,327000,2003,4,1,2,1946,1300
38623275,90621,100000,1993,4,1,2,1926,940
38623275,90621,315000,2004,2,1,2,1926,940
38623275,90621,370000,2004,4,1,2,1926,940
38623275,90621,502000,2005,4,1,2,1926,940
38623284,90621,15000,2002,1,1,1,1947,660
38623284,90621,280000,2002,4,1,1,1947,660
38623289,90621,289000,2002,2,1,1,1950,602
38623293,90621,151000,1999,1,1,2,1928,1004
38623298,90621,320000,1999,2,1,2,1958,1737
38623306,90621,178000,1998,1,1,2,1952,987
38623306,90621,250000,2001,2,1,2,1952,987
38623308,90621,93000,1997,1,3,3,1954,1134
38623308,90621,149000,1997,3,3,3,1954,1134
38623308,90621,136000,1999,2,3,3,1954,1134
38623308,90621,323000,2004,3,3,3,1954,1134
38623336,90621,165000,2000,4,1,2,1946,1327
38623336,90621,550000,2007,1,1,2,1946,1327
38623337,90621,155000,2000,4,3,3,1955,1381
38623343,90621,105000,1996,3,2,3,1953,1580
38623344,90621,220000,2003,1,1,2,1952,726
38623344,90621,380000,2003,4,1,2,1952,726
38623345,90621,267000,2003,1,3,3,1947,1736
38623345,90621,586500,2007,2,3,3,1947,1736
38623350,90621,157000,1993,1,3,3,1947,1259
38623350,90621,126000,1997,1,3,3,1947,1259
